JamoSZN
Roster:
NAME                   | POS   | PTS   | RATIO | ACQUISITION         
54   | Rhamondre Stevenson    | RB    | 11.20 | 5    |  2.03 | Kept for $5          | Forgot About Dre                
55   | Tyquan Thornton        | BN    |  1.00 | 0    |  2.00 | Waivers; $0 bid      | JamoSZN                         
56   | Greg Dulcich           | TE    |  5.00 | 2    |  2.00 | Waivers; $2 bid      | Ceedeez Nutz                    
57   | Denver                 | DEF   |  1.00 | 0    |  2.00 | Waivers; $0 bid      | Burks and Caicos                
58   | Justin Herbert         | QB    | 24.20 | 12   |  1.94 | Traded; $12 salar... | Ceedeez Nutz                    
59   | Keenan Allen           | BN    |  9.90 | 5    |  1.82 | Waivers; $5 bid      | Burks and Caicos                
60   | Gabe Davis             | WR    |  9.30 | 5    |  1.72 | Kept for $5          | Forgot About Dre                
61   | Allen Robinson II      | WR    | 12.70 | 7    |  1.71 | Waivers; $7 bid      | Matt’s “Bye Week”               
62   | Nick Folk              | K     |  4.00 | 2    |  1.67 | Waivers; $2 bid      | Forgot About Dre                
63   | Daniel Carlson         | K     | 14.00 | 8    |  1.67 | Waivers; $8 bid      | Aiyuken                         
64   | Garrett Wilson         | WR    |  2.20 | 1    |  1.60 | Drafted for $1       | Mangina’s Revenge               
65   | Foster Moreau          | BN    |  3.80 | 2    |  1.60 | Waivers; $2 bid      | G                               
66   | Darius Slayton         | WR    | 11.10 | 7    |  1.51 | Waivers; $7 bid      | G                               
67   | Tony Pollard           | RB    | 33.90 | 25   |  1.34 | Drafted for $25      | Aiyuken                         
68   | George Pickens         | WR    | 16.30 | 12   |  1.33 | Drafted for $12      | Mangina’s Revenge               
69   | Joe Burrow             | BN    | 36.70 | 29   |  1.26 | Traded; $29 salar... | Ceedeez Nutz                    
70   | Buffalo                | DEF   |  5.00 | 4    |  1.20 | Waivers; $4 bid      | Cooper Troopers                 
71   | Treylon Burks          | BN    | 14.60 | 12   |  1.20 | Drafted for $12      | Burks and Caicos                
72   | Darnell Mooney         | WR    | 10.90 | 9    |  1.19 | Traded; $9 salary... | Burks and Caicos                
