,pick,player_name,player_position,player_team,salary,manager,keeper_code
40,108,Robert Tonyan,GB,GB,3,Doug,
41,54,Allen Lazard,GB,GB,2,Doug,
42,18,Giovani Bernard,Cin,Cin,0,Doug,
43,43,Darnell Mooney,Chi,Chi,0,Doug,
44,86,Ryan Succop,TB,TB,0,Doug,
45,99,James Robinson,Jax,Jax,0,Doug,
46,121,Demarcus Robinson,KC,KC,0,Doug,
47,126,Justin Herbert,LAC,LAC,0,Doug,
48,15,David Johnson,RB,Hou,59,Evan,
49,171,Chris Godwin,WR,TB,45,Evan,D
50,73,Antonio Gibson,RB,Was,22,Evan,
51,170,Tyler Lockett,WR,Sea,21,Evan,BCD
52,55,Josh Allen,QB,Buf,18,Evan,
53,10,Marquise Brown,Bal,Bal,17,Evan,
54,41,Keke Coutee,Hou,Hou,17,Evan,
55,168,Kyler Murray,QB,Ari,17,Evan,D
56,72,Austin Hooper,TE,Cle,13,Evan,
57,58,Sammy Watkins,KC,KC,7,Evan,
58,169,Ronald Jones II,RB,TB,7,Evan,D
59,52,James White,NE,NE,5,Evan,
60,47,Greg Zuerlein,K,Dal,4,Evan,
61,51,Chicago,Chi,Chi,3,Evan,
62,64,Adrian Peterson,Det,Det,1,Evan,
63,97,Noah Fant,TE,Den,1,Evan,
64,2,Clyde Edwards-Helaire,RB,KC,80,Jake,
65,180,Ezekiel Elliott,RB,Dal,71,Jake,BCD
66,16,Darren Waller,TE,LV,51,Jake,
67,183,Michael Thomas,WR,NO,38,Jake,ABCD
68,181,JuJu Smith-Schuster,WR,Pit,21,Jake,BCD
69,182,Cooper Kupp,WR,LAR,17,Jake,CD
70,130,Jordan Wilkins,Ind,Ind,13,Jake,
71,3,Tom Brady,QB,TB,11,Jake,
72,112,Corey Davis,Ten,Ten,6,Jake,
73,142,J.D. McKissic,Was,Was,6,Jake,
74,95,Jonnu Smith,TE,Ten,3,Jake,
75,102,Zane Gonzalez,K,Ari,1,Jake,
76,30,Jamaal Williams,GB,GB,0,Jake,
77,46,Jared Goff,LAR,LAR,0,Jake,
78,81,Malcolm Brown,LAR,LAR,0,Jake,
79,139,Leonard Fournette,TB,TB,0,Jake,
80,166,Calvin Ridley,WR,Atl,41,Jiwei,D
81,37,D'Andre Swift,RB,Det,39,Jiwei,
82,165,Chris Carson,RB,Sea,37,Jiwei,CD
